Country_ISO3,Country,Development_Status,Current_tariff_total,Current_tariff_manufacturing,Current_tariff_agriculture,Current_tariff_fuels_mining,Current_tariff_other,Pre2025_tariff_total,Pre2025_tariff_manufacturing,Pre2025_tariff_agriculture,Pre2025_tariff_fuels_mining,Pre2025_tariff_other,Imports_total,Imports_manufacturing,Imports_agriculture,Imports_fuels_mining,Imports_other,Notes
SEN,Senegal,Least developed,8.8299999,8.6750002,23.35,1.05,.0080000004,.022,.068000004,.001,0,0,243660504,77429907,58391303,104274908,2797975,
SGP,Singapore,Developing,3.9890001,4.447,7.283,.708,.0020000001,.62300003,.228,6.6950002,.001,0,43535791270,33719844725,2876790408,2176953773,4455686520,
SLB,Solomon Islands,Least developed,7.5380001,18.684999,7.5739999,,0,.61400002,4.0289998,.219,,0,1513876,162707,1024026,0,245595,
SLE,Sierra Leone,Least developed,8.2980003,24.809,5.3189998,3.0250001,0,.33399999,1.4910001,0,.001,0,29604247,6501981,5340905,17199110,90923,
SLV,El Salvador,Developing,11.059,11.176,14.66,19.785999,0,1.6390001,.15700001,8.066,3.2179999,0,2408903761,1742277025,441921565,26532162,183347809,
SMR,San Marino,Developed,20.292999,21.511,14.125,51.923,0,3.309,3.135,6.9330001,11.923,0,26122880,21132322,847802,1145163,2795599,
SOM,Somalia,Least developed,19.639,23.632999,10.626,10,0,3.342,4.507,.62599999,0,0,2624660,1800982,735409,3261,27111,
SPM,Saint Pierre and Miquelon,Developed,.017000001,10,,,0,0,0,,,0,3436327,5693,0,0,3430571,
SRB,Serbia,Developed,35.112,35.916,35.313,26.118999,.33700001,3.2909999,3.533,2.8329999,.81300002,0,840604144,673565756,105400201,38035250,6345142,
SSD,South Sudan,Least developed,9.7849998,9.2580004,10.018,,0,.046999998,.131,.017999999,,0,808313,206888,595048,0,3000,
STP,Sao Tome and Principe,Developing,13.913,13.838,16,2.329,0,.76200002,.91799998,0,0,0,591753,451269,82585,2308,8019,
SUR,Suriname,Developing,10.188,27.688,9.5270004,8.6020002,0,.31099999,3.6730001,.0060000001,0,0,96522115,7992876,56614644,24745827,6205374,
SWZ,Eswatini,Developing,14.286,24.614,9.2189999,,0,.199,.602,0,,0,23285478,7576101,15329287,0,39938,
SXM,Sint Maarten (Dutch part),Developing,.204,11.523,10,4.9580002,0,.0089999996,.86299998,0,0,0,101768252,1060566,152215,1385198,98643196,
SYC,Seychelles,Developing,12.244,15.893,10,10,0,.84100002,1.919,0,0,0,8033743,3496770,4162756,43524,271080,
SYR,Syrian Arab Republic,Developing,30.844,42.216999,19.51,,0,1.939,1.314,2.7049999,,0,11200061,5465209,4955063,0,194276,
TCD,Chad,Least developed,.85100001,8.7539997,14.051,.126,0,.003,1.747,0,0,0,82757050,131257,4225352,78218955,158989,
TGO,Togo,Least developed,11.15,13.64,10.974,4.0999999,0,.017000001,.048,.014,0,0,97449107,8360740,88251839,542500,130011,
THA,Thailand,Developing,21.646,22.055,16.121,35.240002,0,2.4449999,2.421,2.5220001,4.0229998,0,66033090503,58341719392,5761297066,1180271300,371804098,
TJK,Tajikistan,Developing,2.1359999,13.417,10.673,.78799999,0,.148,1.516,.76800001,0,0,4708020,341487,224494,3755362,329937,
TKM,Turkmenistan,Developing,1.705,2.135,,,0,.094999999,.119,,,0,15741735,12533455,0,0,3161454,
TLS,Timor-Leste,Least developed,2.7590001,12.946,.37400001,,0,.58899999,3.1010001,0,,0,6079997,1146583,4855530,0,35693,
TON,Tonga,Developing,13.432,18.437,8.7040005,,0,1.648,2.5469999,.72500002,,0,3251214,1541719,1286835,0,121501,
TTO,Trinidad and Tobago,Developing,5.848,13.021,9.7270002,.028999999,0,.052999999,.0060000001,2.6889999,0,0,3534581225,1532686941,65730077,1884426545,48746504,
TUN,Tunisia,Developing,27.197001,28.954,25.653999,18.048,0,2.6630001,4.4439998,.72299999,.528,0,1153737190,594905161,527463199,10782006,4875158,
TUR,Türkiye,Developing,22.962999,26.628,16.242001,8.3409996,.015,4.8340001,5.7090001,2.6730001,1.942,0,17801440066,13332193009,2237309312,1594864614,458090451,
TUV,Tuvalu,Least developed,17.146,24.766001,,,0,5.0489998,7.2919998,,,0,231564,149124,0,0,66271,
TWN,"China, Taiwan Province of",Developing,16.454,16.679001,16.705,16.684999,0,2.1619999,2.1900001,2.4960001,2.0109999,0,118721919035,114281834232,1104133441,767900085,1592390255,
TZA,"Tanzania, United Republic of",Least developed,18.158001,32.987,4.8200002,10.007,0,.017999999,.039999999,0,0,0,211466653,93512827,66591962,39757033,9603700,
UGA,Uganda,Least developed,2.8759999,15.32,1.76,14.858,0,.213,.26100001,.21699999,.035999998,0,137552168,9230265,123091623,2443586,2390377,
UKR,Ukraine,Developed,18.367001,20.639,12.125,.81099999,.016000001,1.239,.99699998,2.517,.090000004,0,1222095641,939316649,218351150,35634088,7888633,
URY,Uruguay,Developing,11.634,13.886,11.73,5.4369998,0,8.566,3.1689999,9.5299997,.52100003,0,1280134058,133002333,1103106552,13309573,27787074,
UZB,Uzbekistan,Developing,17.649,14.454,11.009,29.452,0,3.7639999,4.4569998,3.027,5.3530002,0,44411842,7940828,9699527,18872194,7535711,
VCT,Saint Vincent and the Grenadines,Developing,7.0149999,10.802,9.9209995,8.7609997,0,.017999999,.184,0,0,0,8398109,817909,2133284,3134981,2106188,
VEN,Venezuela (Bolivarian Rep. of),Developing,.87800002,25.407,13.891,.086000003,0,.155,4.0209999,.82099998,.072999999,0,6350768873,96106504,187817569,6050115234,14717107,
VNM,Viet Nam,Developing,23.159,23.785,12.513,43.390999,.001,4.3730001,4.5500002,.995,6.1690001,0,142413537575,134627515230,5346810708,351209179,1486741308,
VUT,Vanuatu,Developing,14.962,17.284,14.909,,,.035999998,1.244,.0089999996,,,14201121,318558,13862147,0,0,
WLF,Wallis and Futuna Islands,Developing,15.655,22.157,,,0,2.0639999,2.9219999,,,0,41904,25931,0,0,10769,
WSM,Samoa,Developing,2.503,19.521,1.516,10,.53200001,.68699998,2.608,.70200002,0,0,6050359,387897,4392392,6175,1173682,
XKX,Kosovo,Developed,23.402,24.451,9.8280001,10,0,8.4460001,8.9399996,1.956,0,0,36680687,34041774,2454888,6317,98001,
YEM,Yemen,Least developed,9.2519999,18.43,6.6430001,10,0,2.8989999,1.883,3.227,0,0,9328050,2038558,7076595,54415,31000,
ZAF,South Africa,Developing,14.408,18.101999,27.542,9.3839998,.017999999,.70999998,.79500002,.27000001,.68400002,0,14956066522,7476445958,672939618,6534051563,252007633,
ZMB,Zambia,Least developed,12.494,14.88,12.089,12.56,0,.58099997,.082999997,7.9850001,0,0,170890028,3178801,12393768,154098496,1024213,
ZWE,Zimbabwe,Developing,17.639,15.67,17.934,15.124,0,3.898,1.63,4.1739998,.124,0,68556176,5240139,61418365,1043983,293359,
